highlight,short,category,date,value,extra,pi,money
TRUE,NA,experience,September 2014 – Present, Ramón y Cajal researcher at Estación Biológica de Doñana (EBD-CSIC). ,NA,NA,NA
TRUE,NA,experience,September 2012 – August 2014," PostDoctoral fellow at Dr. Riccardo Bommarco  lab (SLU, Sweden).", Interactions among multiple Ecosystem Services. ,NA,NA
TRUE,NA,experience,March 2010 – September 2012," PostDoctoral fellow at Dr. Winfree laboratory (Rutgers University, USA)", Global Change and the Effects on Pollinators. Funded through a Spanish Education Ministry Postdoctoral Fellowship.,NA,NA
TRUE,NA,experience,May 2009 - February 2010," PostDoctoral researcher at Dr. Sol laboratory (CREAF; Center for Ecological Research and Forestry Applications, Spain)", Understanding the role of behavior flexibility and life history traits in bird invasions. ,NA,NA
FALSE,NA,experience,April 2008 - December 2008, Research assistant in the FLEXIADAPT project (CREAF), Behavior flexibility and adaptation to changes,NA,NA
TRUE,NA,experience,2004-2008, Predoctoral fellowship (UAB-CREAF). ,"Funded through the ALARM Project (Assessing LArge scale enviromental Risks for biodiversity with tested Methods, UE 6th FP)",NA,NA
FALSE,NA,experience,Summer 2007, Lab Technician (part time job) in the molecular biology laboratory “Semillas Fito” (Spain).,Developing support tasks (DNA extraction and PCR tecniques),NA,NA
FALSE,NA,experience,July 2006 - September 2006," Intership in the Agroecological Institute of Gottingen University (Germany), with Dr. Steffan-Dewenter.",NA,NA,NA
FALSE,NA,experience,2003-2004, Research assistant fellowship in the Ecology Department at UAB. Funded by  Ministerio Español de Ciencia y Tecnologia.,  Working on the INVASRED Project: Invasive plants efect on plant-pollinator networks,NA,NA
FALSE,NA,experience,2002-2003, Internship at CREAF working on the “Epidemie” project, Exotic Plant Invasions: Deleterious Effects on Mediterranean Island Ecosystems (Grant agency: EU 6th FP),NA,NA
TRUE,NA,mentoring_phd,2013-Present,Jamie Stavert (Co-supervisor with Jaquelline Beggs) : Functinal Biodiversity as a tool to enhance crop production.,NA,NA,NA
TRUE,NA,mentoring_phd,2015-Present,Carlos Zaragoza: Synergies between Glogal change drivers on bee populations.,NA,NA,NA
TRUE,NA,mentoring_phd,2015-Present,Miguel Ángel Collado : Brain structures of bee species and its relation to behaviour. ,NA,NA,NA
NA,NA,teaching&mentoring,2015,Supervision of Master thesis of Jose Barragan. “La importancia de la competencia entre especies y redes de mutualistas para el mantenimiento de la diversidad de especies”,NA,NA,NA
NA,NA,teaching&mentoring,2013,"Developing and teaching a one week course on data management. Department of Ecology, SLU. Sweden.",NA,NA,NA
NA,NA,teaching&mentoring,2012,"Lecturer for the Master curse “Biological interactions”, Department of Ecology, SLU. Sweden.",NA,NA,NA
NA,NA,teaching&mentoring,2010-2012,"Guest lecturer for the following curses: Incect Ecology, Pollinator Ecology and Invasive Plants Biology. Rutgers University, USA.",NA,NA,NA
NA,NA,teaching&mentoring,Summer 2011,"Mentoring of high school students within the Science Research program at The Lawrenceville School, Princeton, USA.",NA,NA,NA
NA,NA,teaching&mentoring,2009-2010,"Graduate Teaching Assistantship in the ecology department form the Biology degree in the Autonomous University of Barcelona (UAB), Spain. ",NA,NA,NA
NA,NA,teaching&mentoring,2009,"Guest lecturer for the Master curse “Ecological theory”, Department of Ecology, UAB. Barcelona.",NA,NA,NA
NA,NA,teaching&mentoring,Summer 2009,"Preparing and teaching a full course on “How to organize your scientific research” at the Estelí University, Nicaragua. ",NA,NA,NA
NA,NA,teaching&mentoring,2016-03-01,Preparing a teaching a full 1 week course on R at “Centro de estudios andaluces”,NA,NA,NA
NA,NA,Research_grants,2015-2016,“Entendiendo el pasado para predecir el Futuro de los polinizadores”. 2015. Proyecto Fundación BBVA. 35.000 EUR. IP: I. Bartomeus,NA,PI,35000
NA,NA,Research_grants,2015-2017,“Unificando estructura de redes y coexistencia entre especies” (LINCX). 2015-2017. Proyecto Explora Ciencia (MINECO). 65.000 EUR IP: I.Bartomeus,NA,PI,65000
NA,NA,Research_grants,2015-2018,Enhancing biodiversity-based ecosystem services to crops through optimized densities of green infrastructure in agricultural landscapes (BiodivERsA-FACCE2014-68: ECODEAL). 2014-2017. IP: Yann Clought  (collaborating 5 EU countries and 20 researchers),NA,NA,NA
NA,NA,Research_grants,2014-2017,Pollinator responses to global change and its implications for ecosystem functioning. (BeeFun) 2014-2018. Project EU FP7 PEOPLE CIG. 100.000 EUR. IP: I. Bartomeus. ,NA,PI,100000
NA,NA,Research_grants,2014-2017,Life history strategies to cope with human-induced rapid environmental changes (Survive-Hirec) 2014-2017. MINECO. 165.000 EUR. PI: D. Sol & I.Bartomeus ,NA,Co-PI,165000
NA,NA,Research_grants,2013,Managing Ecosystem Services in Field Bean. 2013. CL Behm Fund baljväxtodling. 25.000 EUR. IP: I. Bartomeus & R. Bommarco.,NA,Co-PI,25000
NA,NA,Research_grants,,"“Respuesta de las aves a los cambios ambientales: ¿Muchos perdedores y pocos ganadores?” (CGL2010-21838; Granting agency: Ministerio de Ciencia y Educación). PI: Dr. D Sol; Co-Investigators: L Lefebvre, T Székely, I Bartomeus, G García-Peña.",NA,NA,NA
NA,NA,Research_grants,,"How many species are required for ecosystem services? (Faculty research grant program; Granting agency: Rutgers University). PI: Dr. R Winfree; Co-Investigators: I Bartomeus, J. Reilly.",NA,NA,NA
NA,NA,Research_grants,,"Assessing pollinator changes using a 140 years data set. (Pre tenure faculty award; Granting agency: Rutgers University). PI: Dr. R Winfree; Co-Investigators: I Bartomeus, J. Ascher.",NA,NA,NA
NA,NA,Presentations_in_congresses,NA,"Bartomeus, I. Mass flowering crops alter plant-pollinator networks. Gfö meeting. Göttingen, Germany. . Oral Presentation. September 2015",NA,NA,NA
NA,NA,Presentations_in_congresses,NA,"Bartomeus, I. Are plant-pollinator networks enhancing stability? BES meeting. Lille. . Oral Presentation. December 2014",NA,NA,NA
NA,NA,Presentations_in_congresses,NA,"Bartomeus, I. Bee tongue length and its uses in ecology. ESA meeting. Sacramento. . Oral Presentation. August 2013",NA,NA,NA
NA,NA,Presentations_in_congresses,NA,"Bartomeus, I., Bommarco, R. When pollination is limiting? SCAPE meeting. Norway. Oral Presentation. October 2012.",NA,NA,NA
NA,NA,Presentations_in_congresses,NA,"Bartomeus, I., J Ascher, and R Winfree. Historical changes in northeastern US bee pollinators related to shared ecological traits. Oral Presentation. Ecological Society of America meeting, Portland, August 2012 ",NA,NA,NA
NA,NA,Presentations_in_congresses,NA,"Bartomeus I; Sol D; Griffin A. Exploring or Avoiding Novel Food Resources? The Novelty Conflict in an Invasive Bird. Oral presentation. Animal Behavior Society,  Alburquerque, United States of America, May 2012",NA,NA,NA
NA,NA,Presentations_in_congresses,NA,"Bartomeus, I., J Ascher, S Colla, D Wagner, B Danforth, S Kornbluh, and R Winfree. Climate-associated phenological advances in bee pollinators and bee-pollinated plants Invasive plants affecting native pollinators. Oral Presentation. Entomological Society of America meeting, Reno, November 2011 ",NA,NA,NA
NA,NA,Presentations_in_congresses,NA,"Albretch, M., Padrón, B. Bartomeus, I. Traveset, A. Aliens in the community: consequences of plant invasions on compartmentalization and species’ roles in plant–pollinator networks. 12 European Ecological Federation Congress, Avila, September 2011",NA,NA,NA
NA,NA,Presentations_in_congresses,NA,"Bartomeus, I. Invasive plants affecting native pollinators. Oral Presentation. Apimondia, Montpellier, September 2009 ",NA,NA,NA
NA,NA,Presentations_in_congresses,NA,"Bartomeus, I., Vilà, M., Steffan-Dewenter, I.; The effect of the invasive plant Impatiens glandulifera overcomes landscape effects on Plant-pollinator networks. Poster. Ecology and evolution of plant animal interactions. Asociación Española de Ecología Terrestre (AEET), Mallorca, April 2008",NA,NA,NA
NA,NA,Presentations_in_congresses,NA,"Bartomeus, I., Bosch, J.,  Vilà, M; Pollen transfer networks. From Invasive anthers to native stigmas. Oral presentation. Ecoflor 2008. Asociación Española de Ecología Terrestre (AEET), Valencia, February 2008",NA,NA,NA
NA,NA,Presentations_in_congresses,NA,"Bartomeus I, Vila, M; Plant pollination networks, Dealing with invasive plants and landscape complexity, Oral presentation, ALARM 2008 meeting, Sevilla. February 2008",NA,NA,NA
NA,NA,Presentations_in_congresses,NA,"Vilà, M., Bartomeus, I; Impact of plant invaders on plant-pollinator interactions; 4º European Conference on Biological Invasions, Neobiota. Viena. 27.-29 September 2006",NA,NA,NA
NA,NA,Presentations_in_congresses,NA,"Bartomeus, I., Vilà, M., Santamaria, L. Garcia-Gironès, M.; Diversity in Mediterranean plant-pollinator networks: Do invasive plants have an effect? La unidad en la diversidad (Un congreso de ecologia tras el legado de Ramón Margalef). Barcelona, 16-18 Novemver 2005.",NA,NA,NA
NA,NA,Presentations_in_congresses,NA,"Vilà, M., Gimeno, I. and Bartomeus, I.; Does invasion by an alien plant species affects soil seed bank?; MEDECOS 10 th international conference. Rhodes Island, Greece 25 April- 1 May 2004.",NA,NA,NA
NA,NA,Other_publications,NA,"Vila, M., Bartomeus, I., Dietzsch, A., Petanidou, T., Steffan-Dewenter, I., Stout, J., Tscheulin, T. (2009) Mapping plant-invader integration into the plant-pollinator network. In: Settele, J. et al. (eds.): Atlas of Biodiversity Risks - from Europe to the globe, from stories to maps. Pensoft, Moscow",NA,NA,NA
NA,NA,Other_publications,NA,"Traveset, A., Morales, C., Nogales, M., Padrón, B., Bartomeus, I.  Capitulo 6. “Los mutualismos estimulan las invasiones, y las invasoras impactan sobre los mutualismos nativos” en Invasiones biológicas, Libro de Colección-divulgación del CSIC. 2008 ",NA,NA,NA
NA,NA,Other_publications,NA,"Bartomeus, I., Domenech, R., Gassò, N. Invasiones biológicas. Suplemento 2006 del Diccionario Enciclopedico Salvat. 25 pag.",NA,NA,NA
NA,NA,evaluator&consulting,NA,ANEP,NA,NA,NA
NA,NA,evaluator&consulting,NA,Nederlands Research Council,NA,NA,NA
NA,NA,evaluator&consulting,NA,panel member of the Noweigian Research Council,NA,NA,NA
NA,NA,evaluator&consulting,NA,Blue Ocean?,NA,NA,NA
NA,NA,outreach,NA,"Barcelona ans Sevilla Science week, Horticultural Society of NY, TV3 “el mediambient” TV science show... ",NA,NA,NA
NA,NA,invited_talks,NA,NA,NA,NA,NA
NA,NA,Publications??,NA,NA,NA,NA,NA
